label,precision,recall,f1-score,support,score
negative,0.8630952380952381,0.8950617283950617,0.8787878787878788,162.0,
neutral,0.2,0.11764705882352941,0.14814814814814814,17.0,
positive,0.8793103448275862,0.884393063583815,0.8818443804034583,173.0,
accuracy,,,,,0.8522727272727273
macro avg,0.6474685276409414,0.632367283600802,0.6362601357798283,352.0,
weighted avg,0.8390401085982983,0.8522727272727273,0.8450035019657759,352.0,
