term,frequency
aplikasi,329
sriwijaya,275
tiket,183
air,162
promo,145
good,122
member,113
nya,108
bagus,103
membantu,91
app,90
check,73
aja,73
buka,69
mudah,66
banget,63
loading,63
penerbangan,63
sj,62
mantap,62
ya,60
booking,57
ok,57
maskapai,56
dibuka,55
web,46
jam,45
harga,45
kecewa,44
apps,42
kasih,40
udah,39
travel,39
tolong,38
semoga,38
lemot,34
beli,34
terbang,34
bikin,34
bayar,33
login,33
mobile,32
pelayanan,32
update,32
easy,31
download,30
bintang,30
pass,30
sjtp,30
seat,29
