model,accuracy,macro_f1,weighted_f1,negative_f1,neutral_f1,positive_f1
logistic_regression,0.8522727272727273,0.6362601357798283,0.8450035019657759,0.8787878787878788,0.14814814814814814,0.8818443804034583
linear_svm,0.8409090909090909,0.6305977710233029,0.8318886432716219,0.8632218844984803,0.16,0.8685714285714285
naive_bayes,0.8181818181818182,0.6082828692688705,0.8303550360015806,0.8679245283018868,0.08888888888888889,0.8680351906158358
